customer Details,Overall Ratings,summary,Likelihood,pros and cons 
"Jessica M.
Founder, Co Owner, & Designer
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","We use Zoom for ALL our client calls.
Jul 02, 2018",10.0/10,"Pros: The best thing about this is that we can have unlimited free calls as long as we are only on with ONE client. Which is usually the case. And even if it's more than one caller, we can still use it for free for 40 mins. Also this software is amazing for ALL it's features.
Cons: Nothing. I love Zoom for its ease of use, recording capabilities, etc. Everything works great. Bravo."
"Bryan M.
Product Director
Design
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","The modern video conferencing solution
Jul 02, 2018",10.0/10,"Pros: We love Zoom because less tech savvy clients are comfortable with using it and because setup is simple. Even if someone isn't added to your contact list, you can see a list of recent meetings and join back with the same user without having to go through the process of sending and typing in meeting IDs. It is easy to record a meeting and the interface is very clean.
Cons: I wish that Zoom had multiple cursors in screensharing like Slack does so that multiple people could work on the same screen at once."
"Verified Reviewer
Computer Software
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great Solution for Webinars
Jul 02, 2018",NA,"Pros: Overall I have been very pleased with Zoom. It is a great solution for Webinars or demos depending on your business. It makes setting up meetings incredibly easy
Cons: I don't have much negative to say. The only thing that is frustrating, but understandable is that the cutoffs for the free version are fairly low. We had a webinar run long, and we went over the 45 minute free mark. Totally understandable that there are thresholds, just caught me by surprise."
"Verified Reviewer
11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is videoconferencing and web-meeting tool
Jul 02, 2018",9.0/10,"Pros: Its free of cost.

It provide feature for active and listener mode.

It provide feature of screen sharing

Its easy to use and organize meeting

It allow to record meeting in different formats.

It has feature of Group creation which can be used to share files and chat.
Cons: In starting it gave you option of Videoconferencing by showing your video which confuses me and many time i click that by mistake."
"Verified Reviewer
Computer Software, 1001-5000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Easy to use video conferencing tool
Jul 02, 2018",NA,"Pros: Easy to get up and running with this product. Have used other video conferencing tools in the past and zoom is by far the best for quality and consistency
Cons: Like most other tools like this, there is a good ramp up period you need to go through before you can use it daily"
"Verified Reviewer
Human Resources, 1-10 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Best videoconferencing solution without a doubt
Jul 02, 2018",10.0/10,"Pros: Very reliable! I almost never have technical issues. Easy to schedule and easy for participants to access.
Cons: There really are none. I have used others such as Webex, Google and Skype and I always have the best experience with Zoom"
"Verified Reviewer
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Reliable video conferencing
Jul 02, 2018",8.0/10,"Pros: I've had trouble with reliability of video conferencing platforms in the past, but haven't had those issues with Zoom. It just works.
It also syncs well with our conference rooms in our office for a seamless experience.
Cons: The quality of the video connection is reliable, but the software does crash from time to time, or it gets out of sync and says I can't join a meeting because I'm already in it. When sharing your screen, there can sometimes be a bit of a lag when you're moving around in a document."
"Verified Reviewer
Transportation/Trucking/Railroad
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Very innovative
Jul 03, 2018",7.0/10,"Pros: Great for video conferencing. Easily store and lookup new contacts and we have so far been pleased with the video quality. It is cost effective and a great way to have engaging meetings. Really cool GUI and was easy to learn for new people.
Cons: We still prefer Skype for business. It makes more sense for larger organizations and we also have fewer security concerns with Skype. Zoom is very innovative and would be interested to see what's next.
Overall: video conferencing, contacts, conferences"
"Bart L.
Design Director
Design, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is the best software for video conferencing I know of
Jul 03, 2018",10.0/10,"Pros: We use zoom for all out meetings from multiple points on the globe. It works seamlessly with the click of a link. I have only been a participant of meetings and not an administrator but from my point of view it works great.
Cons: The software could use a feature to help with sound levels. People in meetings have no way of knowing if they are talking loud enough. A volume meter on screen could help give a visual to quiet people to speak up or move closer to the microphone.
Overall: This is a great way to connect with people globally. This is invaluable."
"Martin J.
Freelance Consultant
Internet, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Perfect for conferencing
Jul 05, 2018",9.0/10,"Pros: This has transformed the way our teams do conferences. No more telecoms with long awkward pauses and bad lines. Zoom has a great interface and makes for a very user friendly intuitive interaction. Great to store large groups of contacts too and quickly add more through the contacts section.
Cons: Very few flaws so far. Sometimes it might be hard to get a hold of the customer care center, but great online support.
Overall: video conference, meetings, collaboration"
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Remote meetings made super easy
Jul 06, 2018",8.0/10,"Pros: I like using zoom for all of remote meetings, as this allows group meetings hassle free and records the meeting videos easily in mp4 format.
Cons: I think we should be having a Gmail account to use zoom is a bit of con for me and they can try to improve the user interface and user experience.
Overall: A good video call platform for making remote meetings"
"Pankaj C.
Associate Group Lead
Computer Software, 501-1000 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Reliable ,easy to use and excellent software for video conferencing.
Jul 06, 2018",9.0/10,"Pros: Simple to setup and use it from PC or mobile host a meeting by logging in or join meeting by just dialing meeting ID or clicking on meeting URL, and feature like Group video conferencing (up to 50 peoples),screen recording ,screen sharing and chat feature makes it a complete package for video conferencing with clients,conducting seminars and for online tutorials classes.
Cons: Professional version is costly and 50 participates conferencing support is only limited to pro version.
Overall: Excellent for client and team meetings and video conferencing."
"Verified Reviewer
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom Zoom Zoom
Jul 06, 2018",NA,"Pros: Comprehensive for the beginner to the advanced. I feel like this platform will grow with my business: to speak with team members and with my clients. It is amazing when I want a personal touch withOUT having to be in the room.
Cons: I haven't had any issues with Zoom. I enjoy it every time I use it as a consumer or as a facilitator."
"Verified Reviewer
Outsourcing/Offshoring, 201-500 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","This is by far the best conferencing software we have used in the comapny.
Jul 06, 2018",10.0/10,"Pros: The quality of the calls is just great, little to no issues with the quality of the calls. It's super easy to use and you can zinc it with your google calendar to create meeting directly from your calendar. You can have dedicated meetings saved waiting just to hit start meeting (I love this feature). Recording yass! recording hrs of meeting and downloading and sharing meeting just by a simple click. This one here is a must.
Cons: The fact that you can't join a meeting is the host hasn't joined yet, it would be nice to join and wait for host. If you're not careful when creating the meeting the links expire if not created properly. Not much con this one, not even when it comes to support."
"Uri N.
Co-Founder
Computer Software
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Great video conferencing tool
Jul 08, 2018",NA,"Pros: Very easy to use and install. If the other side doesn't have zoom, it takes them just a few seconds to install it.

High quality calls.

Easy way to record calls on the laptop or on the cloud.

Mobile support - joining calls on the mobile and viewing shared screen works great.
Cons: Google calendar integration is not perfect and a bit confusing.

Cloud storage for recorded calls is very low, makes this feature not fully useable, I need to download the recording and keep them somewhere else."
"Chris M.
Athletic Trainer
11-50 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great picture quality and easy to use!
Jul 09, 2018",10.0/10,"Pros: This software was easy to download and use with very little knowledge going into it. The UI is pleasant and the functionality is great. The first half of a meeting I recently had went incredibly smoothly and see and hear every one perfectly. My connection contributed to the second half not being as smooth (using LTE network) but when I disabled the video portion, the audio came through crystal clear.
Cons: I don't really have anything negative to say at this point being a new user. I've no issues that would otherwise arise with any other software (video stuttering and skipping)."
"Bud H.
Principal
Computer Software, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Easy to use - Price is right: Free!
Jul 10, 2018",9.0/10,"Pros: It has an intuitive interface. I came off of GoToMeeting and found the transition was very smooth. There are a few things that take some adjustment if you're a GoToMeeting expert, but the needed functionality is there for simple meetings and conferencing.
Cons: The forty minute limitation for meetings with the ""free"" version was a little inhibiting - but when a product is ""free"" one shouldn't complain. A colleague upgraded to the Pro version, and the time lomit and the number of participants limitation are removed. Most of my meetings are one-on-one, so I have no incentive to upgrade.
Overall: Face-to-face meetings and group conferences. It's quick and easy to add users to an in-process meeting, and scheduling a meeting is very easy to do."
"Verified Reviewer
Computer Software, 1001-5000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","3/5
Overall","Our company just made the switch from GoTo
Jul 10, 2018",NA,"Pros: So far the reliability seems to be an improvement over our previous tool. Logging in is also simpler since it remembers your information and doesn't make you re-enter it.
Cons: We've had some issues with getting meetings started. People get kicked out or it says meetings are already going when they're not. Hopefully it's a learning curve and we'll get the hang of it."
"Verified Reviewer
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Great for meetings across the world
Jul 10, 2018",NA,"Pros: Great for meetings across the country or across countries. Features are easy to use and the product works great.
Cons: The free version is great, but the business is even better. No complaints on any of the features. Maybe they could add something to draw?"
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Easy to use and solid video conferencing product
Jul 10, 2018",9.0/10,"Pros: The free tier includes more than competitors offerings at that level, and the apps are polished and work reliably. Video quality is very good and good collaboration features like whiteboard tools are incredibly useful for certain types of conferencing.
Cons: It's hard to come up with cons as the software offers a lot in a very easy to use, reliable package. That said, although the free tier includes a lot, once you move into paid plans it can get expensive depending on your conferencing needs.
Overall: Easy to use video conferencing, with lots of features for free"
"Kaja K.
Support Staff
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","At my work, we use Zoom Video Conferencing to hoast our Telehealth services
Jul 10, 2018",10.0/10,"Pros: I like that is HIPPA compliant. It is much easier for my provider and patients than other Telehealth platforms that cost a lot more. I can easily schedule for all of my providers and even move appointment times if I need to.
Cons: I wish I could edit the email that goes to the patient to give them the link to connect to their Telehealth session. As it is, I just copy the link and draft my own email to paste it into."
"Keenan G.
Event Manager
Events Services, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Cleanest platform I've experienced for multi-user video chat
Jul 10, 2018",10.0/10,"Pros: Incredibly easy to install and GUI is beautiful on Mac OS X. Video quality is the cleanest I've encountered on Mac with 5+ users simultaneously
Cons: Very little to complain about with this software. I don't use it frequently enough to be a paid user (use it for bi-yearly, company wide meetings) but it's flawless when used."
"Verified Reviewer
Religious Institutions, 201-500 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Use Zoom for easy chat and video call communications within the organization
Jul 10, 2018",9.0/10,"Pros: Easy to chat and share files such as documents or images in simple chats. Like the ability to add plugin to Outlook calendar and schedule meetings directly within calendar. Easy to quickly add more people, and good feature to chat with everyone or specific people within a video call.
Cons: Glitchy when switching between multiple accounts. Time limit on free accounts gets annoying, although fair because it is a good free service- should give a little more waring/be more clear about the time limit.
Overall: Easy to setup video calls or webinars with one or many people. Can also share quick chats or attachments in chat window."
"Verified Reviewer
Internet, 51-200 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","Hello!!! nice to finally meet you! As simple as that is to use this tool.
Jul 10, 2018",9.0/10,"Pros: It is really simple to use. Meetings happen very fast, is reliable and very portable. It has a client for most of the OS and also a web and mobile version. The free version is quite generous allowing like 40 minutes meetings for more than two peers.
Cons: There is not much to dislike about this product. Perhaps the UI that can be quite confusing for new people, but other than that is pretty great."
"Cherlyn C.
Heartbreak Whisperer
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","I LOVE Zoom for client calls!
Jul 11, 2018",10.0/10,"Pros: I love the simple recording feature, and the fact that the recording is automatically and conveniently saved in a folder after. Share Screen is something I use very frequently, it's such a convenient way to get closer to my clients.
Cons: It does have some issues with the connectivity sometimes, especially if you have many tabs open or you're running other programs. But I'm sure this can't be helped. It's quite annoying though, to have someone take up your full screen when they share screens.
Overall: A lot, it's a great free platform to host all my client calls on."
"Micha¿ S.
Partnerships Specialist
Computer Software, 201-500 employees
Reviewer Source 
Source: GetApp","5/5
Overall","Jul 11, 2018",NA,
"Verified Reviewer
Hospital & Health Care, 1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","nice way to communicate through live video!
Jul 11, 2018",NA,"Pros: I really like this program when needing to communicate with a large group of people. Doing a live video makes this very easy when needing to explain and demonstrate things to people.
Cons: There wasn't too much that I disliked. I did feel that the ease of use was a bit tricky, but I was eventually able to navigate."
"Melissa P.
Digital Productivity Coach
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Best one-on-one video conferencing I've used
Jul 11, 2018",10.0/10,"Pros: I love the audio and video quality, the tools, and the screen sharing capabilities. I've worked with a lot of video conferencing software to train clients and this is the easiest to explain to a client and the most functional.
Cons: I wish accessing things like audio/video options were a little easier when screen sharing. It makes it complicated when things go awry in the middle of a session when a client is sharing their screen."
"Nuha H.
Business Owner
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","All I ever use for professional meetings is Zoom, it's definitely my preferred choice!
Jul 11, 2018",NA,"Pros: Easy to use, all the buttons are right where you need them, love that the app is also very functional and easy to use. The screen is always so clear and there are so many view options which made my classes and meetings so easy to follow and participate in.
Cons: I didn't like the fact that it would crash occasionally. Also I was surprised that it would drain my battery life so quickly, on my phone and computer."
"Dennis N.
Software Engineer
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Been using it for international meetings with over 10 people
Jul 12, 2018",NA,"Pros: I like the straight forward approach to the video conference concept, its just like you enter the meetingID put your name up and you are good to go, not any unneeded information, just the basics just what you need.
Cons: I don't like that sometimes a bug occurs and when joining the meeting i start with a shared video, which kinda is bad because sometimes you just want the audio running."
"Dain B.
Sales Development Representative
Computer Software, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is a great Sales Tool
Jul 12, 2018",9.0/10,"Pros: Easy to use for anyone and you do not have to download a bunch of things just to do a call like other platforms. It is easy to set up meetings and to send them to prospects and clients. The video feature is great and does not lag. Sharing screens is easy because anyone on the meeting can share their screen.
Cons: Occasionally the meeting will need to be reset but it is very rare that it has happened on our entire team.
Overall: Easy to use, quick and easy for prospects to use."
"Rachel H.
Curriculum Writer
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Makes it easy to connect our team remotely
Jul 12, 2018",NA,"Pros: Easy to invite others to join a meeting, easy to store for others to watch later, comments can be shared easily in the sidebar
Cons: There's not much to dislike... I do frequently forget how to mute my side of the conversation, but it never takes long to find it!"
"Kevin M.
Customer Operations Manager
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Using Zoom is an overall good experience, but can sometimes be very frustrating.
Jul 12, 2018",NA,"Pros: My company uses Zoom and their Zoom Room services for our 8 conference rooms. If you work with their team to get this all set up, it can go really well, but there's a lot of set up required to get going. There's some great features like airplaying to share your video, even if you're not connected to that Zoom Room, but in that same location. It makes sharing your screen very easy and convenient. There's lots of great admin features for managing all your rooms, which look great, but I haven't needed to use them too much.
They have great customer support, who is usually very responsive and quick to help out when needed.
Cons: Each Zoom Room requires a controller (usually an iPad or tablet), microphone, webcam, TV or monitor, and a computer all hooked up in order to work. If any of those pieces are missing, the whole room will not work, so it can be very frustrating if something comes unplugged or the iPad dies, you can't do anything till it's all back together.
Some of the admin features are a bit backwards, like trying to upgrade a user on your account. You can't simply upgrade someone, you have to go to your billing page, add an additional person to the list, then go back to that user and upgrade them."
"Verified Reviewer
51-200 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","A great way to host video conference calls
Jul 12, 2018",10.0/10,"Pros: It's very easy to set up one-time or recurring web conference calls, and each call has its own unique meeting code

There are multiple dial-in numbers for those who cannot be at a computer (even an international one)

The host can invite others to share their screen during the call
Cons: It would be nice to designate a second ""administrator"" during calls, so that they can handle muting/unmuting the call when the main host is presenting. This can be worked around by having someone host the call, and have them invite someone else to share their screen, but the second host would be a nice option.
Overall: This software is very easy to use and convenient. It's a good way to host a video call with many attendants, as you can control the mute/unmute for everyone."
"Andy F.
Director of Strategic Content
Higher Education
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Flawless conferencing tool
Jul 12, 2018",NA,"Pros: Zoom gives a really helpful and easy to use option for meetings. For people who can't afford to step out of the office but still want to be included in important discussions, Zoom is a great alternative to the traditional conference room meetings. I don't use the video function all the time; often just dial in and continue working. Great for screen sharing as well.
Cons: No cons here. Zoom is a really good app and I highly recommend it. It's actually easier to use than many of its well-known competitors."
"Heather R.
coach
Professional Training & Coaching, Self-employed
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","has made my business a success
Jul 13, 2018",10.0/10,"Pros: video clear

sound clear

set up is easy

scheduling is simple and straight forward

copy link aspect is great
Cons: can be glitchy some times

wish the free version would have a small group option

could use tutorial aspects"
"Rachel T.
ACT Instructor
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Excellent Product for Online Meetings
Jul 13, 2018",NA,"Pros: -This software is very streamlined, and it is easy to find everything I need.

-I like that I am able to share any document on my computer and easily annotate it.

-Zoom can be used on numerous devices, including smartphones and tablets.

-The video and sound quality are great.

-It is easy for participants to enter a meeting: they only need to follow a link and be admitted by the host.
Cons: -Although I can share documents from my computer, I can only do so if they are open (the Zoom file share function does not allow me to select a document to share from my files folder; I can only share documents that are already open).

-Even though I am able to annotate documents that I share through Zoom, if I scroll up or down or change pages, the markings do not move with the page (My annotations remain still, while the document moves). This means I am not able to annotate a page and then return to a page that I previously annotated and have the markings still be intact.

-When saving a screenshot through Zoom, it is difficult to find after the session has ended."
"Verified Reviewer
Construction, 201-500 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","One of the Best Video Conferencing Softwares
Jul 16, 2018",10.0/10,"Pros: The company I owned had 70% of our contract employees in different countries. I was so tired of using Skype because it was unreliable. I had dropped calls, poor audio, and video, with numerous other problems. I started using Zoom for all of our video conferencing needs and have not looked back.
The audio and video quality is excellent. I have not had any problems with dropped calls or low-quality audio. We would normally have 8+ people on the call and it just worked easily for everyone.
Anybody can share their screen to show what they are working on. One of my favorite features is being able to record the session after it was finished. Being able to record is nice for anybody that might have missed the meeting they can go back and watch what they missed.
The app worked great for Android. I do not have an IOS and so I can not speak about the IOS app but I'm sure it works the same.
Cons: It is hard to think of something that I didn't like about the software or something I had problems with. Maybe it would be nice to see a little more customization options during the video conference. Such as you can adjust all of the video windows to any size you want and allow multiple levels of options per the user. This is really not a big deal but it would just be nice."
"Paul S.
CEO
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","The best video conferencing solution so far
Jul 16, 2018",NA,"Pros: I have been using zoom for several years and it is by far the best video conferencing solution, for one to one and group meetings.

The audio quality is excellent as well as the sharing screen option.
Cons: No cons regarding the video conferencing features from zoom. I wish the free plan would allow for longer conference times."
"Verified Reviewer
Outsourcing/Offshoring
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Great web conferencing tool
Jul 16, 2018",10.0/10,"Pros: This application is the best we've used. Very few data hangs, always clear voice quality, easy to use mobile app, and a good price point.
Cons: To be honest, there's nothing to really dislike about the application (which is saying something in this product space). If I had to say something, I'd say my least favorite feature is having to manually minimize other users web cameras."
"Billy M.
Engineer
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Use Zoom for conference call with customers
Jul 17, 2018",NA,"Pros: Easy of use to set up and schedule calls

integration with Outlook

like the chat

user friendly for groups
Cons: Professional version is a bit costly

limited to 50 participants conferencing for none professional version"
"Rebecca P.
Account Manager
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Online meeting and video conferencing tool
Jul 17, 2018",NA,"Pros: Our office uses Zoom almost daily and the interface is nice and simple to use. The connection is always very stable and it works well with our PC operating system.
Cons: It would be nice to be able to paste images into chat or if the chat transcripts could be downloaded for the host."
"Soham B.
Graduate Research And Teaching Assistant
Higher Education, 1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Used it for conference calls
Jul 18, 2018",9.0/10,"Pros: This is really good for conference calls for a team meeting. You can share the conference zoom link to all the team members and they can join in. Connections are really good. Good for sharing the screen.

Although not much different from Skype for Business, what is annoying in Skype for Business is when you try to join in from a link, a lot of windows pop up and kind of confusing at times.

Zoom is much better in that regard.

I appreciate their customer support.
Cons: There is not much to say.

It is free for 1 to 1 meeting but for a group meeting, it has a time limit of 40 mins.
Overall: Used it for multiple conference calls for work."
"Osa L.
Marketing
Marketing and Advertising, Self-employed
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","If you haven't tried zoom yet, you won't know what you're missing
Jul 18, 2018",10.0/10,"Pros: Zoom seems to be intuitive. It's like they figured out all my challenges with video conferencing and decided to create a product that would solve those problems and exceed them. It's pretty easy to use, but I recommend testing it out, testing out recording a video and making sure that you 're getting exactly what you want to get, and test it out with the sound quality etc.
Cons: I think the sound quality may not be the greatest, and it seems to require a lot of bandwidth to record the video, but then again I think most software do."
"Piotr B.
Tier 2 Technical Support Engineer
201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Sleek, fast, reliable
Jul 19, 2018",10.0/10,"Pros: Lightweight

Fast

Reliable

Offer great quality

Multiple connection options

Great for large conferences

Allows sharing camera and screen simultaneously.
This is a very lightweight, multiplatform tool that makes conferences really easy. I participated in conferences with users from all over the world, e.g. from UK, Poland, US, Philippines at the same time and there wasn't any latency at all. I believe this is the best collaboration tool, it is very reliable, allows to share a screen and your camera simultaneously. Allows to record meetings in the cloud or locally. I have to stress how seamless it makes the meetings with people literally all over the world. This is a very reliable tool, never crashed on me, always works fast and does not consume a lot of resources.
Cons: Some menus seem a bit convoluted

Certain options are counterintuitive

There is a learning curve with the software
Sometimes small things can be a bit buried, like disabling enter chime. Also, the HD quality for a camera is disabled by default (probably to save bandwidth).
Overall: Meetings are seamless and hassle-free. This is the best collaboration tool for companies that have to meet with people from all over the world. Using this tool I forgot they are from very far locations. There is no latency and the application does not consume a lot of resources but allows to record the meetings, share a screen, annotate etc."
"Verified Reviewer
Management Consulting, 201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","makes daily remote working easy and enjoyable
Jul 19, 2018",10.0/10,"Pros: The software integrates with outlook nicely - this is a big plus, because most of the meeting arrangement today is done via outlook calendar - having automatic scheduling via the outlook plug in is very useful.
Cons: sometimes the setting is a bit hard to figure out. there is also no 800 toll free number to call in which makes it harder for some organization (when i work at a client office meeting room, only 800 toll free number is allowed.)
Overall: scheduling meeting"
"Carlie Z.
Business Insurance Intern
Insurance, 201-500 employees
Reviewer Source 
Source: GetApp","5/5
Overall","Jul 19, 2018",NA,
"Elli Lou I.
Account Specialist
Computer Software, 201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","A powerful collaboration tool with a broad range of functionality perfect for companies.
Jul 20, 2018",NA,"Pros: I love the video and audio quality of the meetings and presentation. Screen sharing and remote access is a big plus, great that is has mobile app too.
Cons: I've only used this recently and so far I can't say anything that I don't like. It has worked flawlessly so far."
"Remington B.
Desktop Support
Architecture & Planning, 501-1000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Very smooth experience for people that don't know the software very well.
Jul 20, 2018",10.0/10,"Pros: Extremely easy to use for super basic functions and sending to a user that doesn't know how to video conference is very easy.
Cons: There are a TON of features. Teaching people that don't have the time or the patience is hard. There are functions up to the wazoo in here."
"Michael K.
engineer
Mechanical or Industrial Engineering, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","This program has been very useful and reliable.
Jul 20, 2018",8.0/10,"Pros: The program is simple to use and is reliable. The features cover a wide range of functionality without too much complication.
Cons: We have noticed that at times there are video quality issues. If both parties do not have a solid internet connection the video quality does drop.
Overall: Good product that i would recommend, however there are other comparable programs out there."
"Liz W.
Founder & Co-CEO
Food Production, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Simple, straightforward, & FREE video conferencing
Jul 23, 2018",10.0/10,"Pros: Straightforward, useful, easy to start and easy to join, convenient group collaboration including messaging, screen sharing documents, photos, and video clips
Cons: I have only used the software a few times and have not experienced any issues with it, so I am unable to articulate any negatives thus far."
"Ryan M K.
Information Technology Manager
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is a simple and easy-to-use video conferencing system.
Jul 24, 2018",10.0/10,"Pros: Low bandwidth but high-quality video conferencing. The software that the end-user views is easy for them to use. There's not confusing terminology or methods to do a task.
Cons: The admin interface on the website could be streamlined. Some of the terminology they use to explain their products is not terribly intuitive.
Overall: Quick and easy access to video calls and webinars. Low hardware requirements."
"Kate D.
Blogger
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","I Love Zoom for Co-working
Jul 25, 2018",NA,"Pros: I use Zoom Daily for co-working with my mastermind group. We also do weekly q and a calls. It is easy to set up a call with a client too.
Cons: Nothing big but I never know what to do with that tab it pops open and one time I set up a call but then somehow used the wrong link but I'm pretty sure that was my mistake."
"Verified Reviewer
Internet, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","3/5
Overall","Resource Hog
Jul 25, 2018",5.0/10,"Pros: I really appreciate how easy it is to get my clients into Zoom conference rooms. It provides a link that remains the same for my conference room so once my clients have the link, they can use it for any of our future meetings.
Cons: Zoom is a huge resource hog. While running the software, you can expect a large portion of your system resources to be used up. This cause lagging which is a bad thing to happen when you are demonstrating software on your machine. It makes it seem as though the software is running poorly when in fact it is just your computer struggling to keep up with the requirements of Zoom.

Also, people connecting to your conference room are forced to download the software onto their computers as opposed to something like join.me which runs without any software download."
"Verified Reviewer
Political Organization, 11-50 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Great Alternative to Skype
Jul 25, 2018",10.0/10,"Pros: The reliability of Zoom is A+. Skype is what I used before and it would constantly crash and freeze. Not the case with Zoom. If you need a stable alternative to Skype, this is the solution for you. Also worth noting: This is great for large teams.
Cons: There's hardly anything noteworthy that I don't like about the software, but if they improved the mobile experience it would be a perfect piece of software."
"Judy B.
Universoty Student
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Changed my Opinion about Online Classrooms
Jul 25, 2018",NA,"Pros: I first experienced this product while attending an online class. To our classroom's surprise, it was a great introduction to the product. Our professor loved being able to see each individual class member throughout the meeting, and I felt much more connected to my classmates. Screen sharing was simple to execute, and other functions were simple enough to learn quickly.
Cons: For some students, the use of a microphone created a loud static noise if someone else wasn't muted. In addition, the mobile app version was not as easy to use."
"Vanessa B.
Ejecutiva de Cuentas Digital
1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","is an easy to use application, where you have contact with the other person
Jul 25, 2018",NA,"Pros: I can see the screen of the other person, be able to share my screen at the same time that is being spoken, in order to discuss the topics of the conversation
Cons: The look and feel because it is not attractive or fresh for the user's eyes, it seems an old application, it does not reflect its good function"
"Maybels G.
Data Network Engineer
Telecommunications
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Excellent tool for webinars!
Jul 25, 2018",10.0/10,"Pros: It is very easy to use and the UX is intuitive. It takes only few minutes to set up a webinar and send the invitation. Video and audio quality are great even with poorly internet connections.
Cons: I have no cons with this software but I would like that the free version will have more than 40 minutes."
